domain,count   
gmail.com,784051
yahoo.com,42759
hotmail.com,26324
icloud.com,23746
outlook.com,22841
proton.me,7090
protonmail.com,6349
aol.com,4690
mail.com,4062
hotmail.co.uk,4001
yahoo.co.uk,1883
live.com,1513
tutanota.com,1455
googlemail.com,1419
rediffmail.com,1183
gmx.de,1096
mail.ru,987
live.co.uk,915
ymail.com,892
seznam.cz,830
gmx.com,795
yahoo.co.in,746
myyahoo.com,726
yandex.com,720
msn.com,698
web.de,694
abv.bg,522
me.com,513
yahoo.ca,510
skiff.com,448
wp.pl,434
btinternet.com,423
rocketmail.com,418
yahoo.de,403
libero.it,395
yahoo.com.au,364
sky.com,358
email.com,358
outlook.de,328
virgilio.it,321
hotmail.fr,282
yandex.ru,272
comcast.net,272
yahoo.in,261
outlook.fr,251
live.nl,241
live.ca,234
inbox.lv,228
gmx.net,225
hotmail.it,218
gmx.co.uk,192
hotmail.ca,180
o2.pl,171
hotmail.de,168
usa.com,163
live.com.au,162
freemail.hu,147
pm.me,144
charter.net,143
gmx.at,141
yahoo.it,127
bk.ru,127
yahoo.fr,125
email.cz,121
outlook.it,120
